	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
2.region4	0.128	0.137	0.135	0.287	0.338	0.323	-0.022	-0.024	-0.009
	(0.215)	(0.218)	(0.216)	(0.252)	(0.261)	(0.261)	(0.211)	(0.212)	(0.212)
	[-0.294 - 0.550]	[-0.291 - 0.565]	[-0.289 - 0.559]	[-0.207 - 0.781]	[-0.174 - 0.850]	[-0.189 - 0.834]	[-0.435 - 0.392]	[-0.441 - 0.392]	[-0.425 - 0.407]
	0.553	0.530	0.534	0.255	0.196	0.216	0.918	0.909	0.965
3.region4	-0.052	-0.016	-0.015	0.071	0.169	0.166	-0.422	-0.398	-0.400
	(0.211)	(0.214)	(0.213)	(0.242)	(0.253)	(0.254)	(0.202)	(0.205)	(0.205)
	[-0.466 - 0.363]	[-0.435 - 0.403]	[-0.432 - 0.402]	[-0.404 - 0.545]	[-0.327 - 0.665]	[-0.332 - 0.663]	[-0.818 - -0.026]	[-0.800 - 0.004]	[-0.801 - 0.002]
	0.807	0.940	0.945	0.771	0.504	0.514	0.037	0.052	0.051
4.region4	0.174	0.195	0.192	0.378	0.452	0.453	0.136	0.141	0.135
	(0.230)	(0.232)	(0.231)	(0.246)	(0.256)	(0.257)	(0.224)	(0.226)	(0.225)
	[-0.276 - 0.624]	[-0.261 - 0.650]	[-0.261 - 0.645]	[-0.104 - 0.859]	[-0.049 - 0.954]	[-0.051 - 0.958]	[-0.303 - 0.574]	[-0.302 - 0.584]	[-0.305 - 0.576]
	0.449	0.402	0.406	0.124	0.077	0.078	0.544	0.532	0.547
1.metro	0.115	0.122	0.139	0.284	0.290	0.304	0.245	0.261	0.237
	(0.226)	(0.226)	(0.226)	(0.275)	(0.274)	(0.274)	(0.224)	(0.222)	(0.223)
	[-0.328 - 0.558]	[-0.320 - 0.565]	[-0.304 - 0.583]	[-0.256 - 0.823]	[-0.247 - 0.827]	[-0.234 - 0.841]	[-0.193 - 0.684]	[-0.174 - 0.696]	[-0.200 - 0.673]
	0.610	0.587	0.539	0.303	0.290	0.268	0.273	0.239	0.287
1.female	-0.565	-0.590	-0.602	-0.200	-0.264	-0.269	0.010	-0.028	-0.019
	(0.133)	(0.134)	(0.134)	(0.154)	(0.158)	(0.158)	(0.139)	(0.140)	(0.140)
	[-0.825 - -0.305]	[-0.852 - -0.328]	[-0.864 - -0.340]	[-0.502 - 0.101]	[-0.574 - 0.045]	[-0.580 - 0.041]	[-0.264 - 0.283]	[-0.303 - 0.247]	[-0.293 - 0.255]
	0.000	0.000	0.000	0.193	0.094	0.089	0.945	0.842	0.891
2.age4	-0.498	-0.546	-0.552	-0.353	-0.384	-0.382	-0.529	-0.541	-0.537
	(0.235)	(0.236)	(0.235)	(0.241)	(0.240)	(0.240)	(0.241)	(0.243)	(0.243)
	[-0.957 - -0.038]	[-1.009 - -0.083]	[-1.013 - -0.091]	[-0.824 - 0.119]	[-0.855 - 0.087]	[-0.852 - 0.088]	[-1.001 - -0.057]	[-1.018 - -0.065]	[-1.013 - -0.061]
	0.034	0.021	0.019	0.143	0.110	0.112	0.028	0.026	0.027
3.age4	-0.817	-0.831	-0.838	-0.747	-0.742	-0.742	-0.974	-0.969	-0.966
	(0.251)	(0.252)	(0.251)	(0.271)	(0.273)	(0.272)	(0.257)	(0.256)	(0.257)
	[-1.309 - -0.325]	[-1.326 - -0.337]	[-1.330 - -0.346]	[-1.279 - -0.216]	[-1.277 - -0.208]	[-1.275 - -0.210]	[-1.477 - -0.471]	[-1.471 - -0.466]	[-1.470 - -0.463]
	0.001	0.001	0.001	0.006	0.006	0.006	0.000	0.000	0.000
4.age4	-0.816	-0.839	-0.840	-0.999	-1.038	-1.043	-0.801	-0.826	-0.823
	(0.289)	(0.291)	(0.290)	(0.320)	(0.318)	(0.318)	(0.298)	(0.299)	(0.297)
	[-1.381 - -0.250]	[-1.409 - -0.269]	[-1.408 - -0.272]	[-1.627 - -0.372]	[-1.662 - -0.414]	[-1.667 - -0.420]	[-1.385 - -0.217]	[-1.412 - -0.240]	[-1.406 - -0.241]
	0.005	0.004	0.004	0.002	0.001	0.001	0.007	0.006	0.006
2.race4	0.019	-0.096	-0.128	0.120	-0.103	-0.099	0.009	-0.200	-0.189
	(0.238)	(0.252)	(0.249)	(0.256)	(0.274)	(0.273)	(0.244)	(0.256)	(0.256)
	[-0.448 - 0.486]	[-0.590 - 0.399]	[-0.616 - 0.359]	[-0.381 - 0.622]	[-0.639 - 0.434]	[-0.635 - 0.436]	[-0.469 - 0.487]	[-0.701 - 0.302]	[-0.690 - 0.313]
	0.938	0.705	0.605	0.638	0.707	0.716	0.970	0.435	0.461
3.race4	-0.199	-0.219	-0.223	-0.059	-0.151	-0.146	0.095	0.058	0.049
	(0.286)	(0.286)	(0.283)	(0.298)	(0.297)	(0.297)	(0.269)	(0.267)	(0.269)
	[-0.760 - 0.362]	[-0.779 - 0.341]	[-0.778 - 0.332]	[-0.643 - 0.525]	[-0.732 - 0.430]	[-0.727 - 0.435]	[-0.432 - 0.621]	[-0.465 - 0.581]	[-0.479 - 0.577]
	0.486	0.443	0.431	0.843	0.610	0.623	0.725	0.828	0.855
4.race4	0.215	0.135	0.129	-0.299	-0.419	-0.425	-0.393	-0.457	-0.453
	(0.216)	(0.219)	(0.219)	(0.245)	(0.251)	(0.250)	(0.205)	(0.207)	(0.206)
	[-0.208 - 0.638]	[-0.295 - 0.564]	[-0.300 - 0.557]	[-0.778 - 0.181]	[-0.910 - 0.072]	[-0.915 - 0.065]	[-0.796 - 0.010]	[-0.862 - -0.051]	[-0.858 - -0.049]
	0.319	0.539	0.556	0.223	0.094	0.089	0.056	0.027	0.028
2.hhsize	-0.352	-0.388	-0.377	-0.240	-0.312	-0.319	-0.491	-0.530	-0.529
	(0.239)	(0.241)	(0.241)	(0.263)	(0.269)	(0.268)	(0.225)	(0.228)	(0.228)
	[-0.820 - 0.117]	[-0.860 - 0.085]	[-0.850 - 0.096]	[-0.755 - 0.275]	[-0.840 - 0.216]	[-0.844 - 0.207]	[-0.933 - -0.049]	[-0.976 - -0.084]	[-0.976 - -0.083]
	0.141	0.108	0.119	0.360	0.247	0.235	0.029	0.020	0.020
3.hhsize	-0.494	-0.513	-0.500	-0.442	-0.475	-0.485	-0.845	-0.875	-0.876
	(0.260)	(0.261)	(0.262)	(0.288)	(0.289)	(0.288)	(0.256)	(0.258)	(0.259)
	[-1.004 - 0.017]	[-1.025 - -0.001]	[-1.013 - 0.013]	[-1.006 - 0.122]	[-1.041 - 0.091]	[-1.050 - 0.079]	[-1.347 - -0.343]	[-1.381 - -0.369]	[-1.383 - -0.370]
	0.058	0.050	0.056	0.125	0.100	0.092	0.001	0.001	0.001
4.hhsize	0.051	0.050	0.066	-0.129	-0.161	-0.162	-0.708	-0.714	-0.724
	(0.284)	(0.286)	(0.285)	(0.328)	(0.335)	(0.335)	(0.280)	(0.283)	(0.284)
	[-0.505 - 0.607]	[-0.511 - 0.610]	[-0.493 - 0.625]	[-0.772 - 0.513]	[-0.817 - 0.495]	[-0.818 - 0.494]	[-1.256 - -0.159]	[-1.269 - -0.159]	[-1.280 - -0.169]
	0.858	0.862	0.817	0.693	0.630	0.629	0.011	0.012	0.011
5.hhsize	-0.094	-0.099	-0.065	-0.273	-0.352	-0.362	-0.163	-0.250	-0.275
	(0.319)	(0.318)	(0.318)	(0.352)	(0.353)	(0.353)	(0.304)	(0.305)	(0.304)
	[-0.720 - 0.531]	[-0.723 - 0.524]	[-0.688 - 0.558]	[-0.963 - 0.417]	[-1.044 - 0.340]	[-1.053 - 0.329]	[-0.759 - 0.433]	[-0.848 - 0.348]	[-0.870 - 0.320]
	0.768	0.755	0.838	0.437	0.318	0.305	0.593	0.413	0.365
6.hhsize	-0.165	-0.176	-0.148	0.118	0.081	0.057	-0.616	-0.666	-0.658
	(0.324)	(0.324)	(0.325)	(0.328)	(0.330)	(0.330)	(0.295)	(0.297)	(0.298)
	[-0.800 - 0.469]	[-0.812 - 0.459]	[-0.785 - 0.490]	[-0.525 - 0.762]	[-0.566 - 0.728]	[-0.590 - 0.703]	[-1.194 - -0.038]	[-1.248 - -0.084]	[-1.241 - -0.075]
	0.609	0.587	0.650	0.718	0.806	0.864	0.037	0.025	0.027
2.marital	-0.264	-0.290	-0.294	0.383	0.322	0.319	-0.297	-0.355	-0.347
	(0.417)	(0.417)	(0.415)	(0.442)	(0.447)	(0.445)	(0.321)	(0.312)	(0.317)
	[-1.080 - 0.552]	[-1.108 - 0.527]	[-1.107 - 0.519]	[-0.484 - 1.250]	[-0.554 - 1.197]	[-0.552 - 1.191]	[-0.925 - 0.332]	[-0.967 - 0.256]	[-0.967 - 0.274]
	0.526	0.486	0.479	0.387	0.471	0.473	0.355	0.254	0.273
3.marital	0.057	0.052	0.064	-0.111	-0.164	-0.164	-0.133	-0.158	-0.166
	(0.239)	(0.241)	(0.241)	(0.256)	(0.258)	(0.257)	(0.227)	(0.226)	(0.227)
	[-0.412 - 0.525]	[-0.420 - 0.524]	[-0.408 - 0.537]	[-0.612 - 0.390]	[-0.671 - 0.342]	[-0.668 - 0.340]	[-0.578 - 0.311]	[-0.602 - 0.285]	[-0.611 - 0.279]
	0.813	0.829	0.790	0.664	0.524	0.523	0.557	0.484	0.464
4.marital	1.127	1.313	1.331	1.205	1.357	1.339	-0.411	-0.404	-0.393
	(0.487)	(0.477)	(0.471)	(0.621)	(0.574)	(0.584)	(0.610)	(0.631)	(0.634)
	[0.173 - 2.081]	[0.377 - 2.248]	[0.407 - 2.254]	[-0.011 - 2.422]	[0.232 - 2.482]	[0.194 - 2.484]	[-1.606 - 0.784]	[-1.640 - 0.833]	[-1.636 - 0.851]
	0.021	0.006	0.005	0.052	0.018	0.022	0.500	0.522	0.536
5.marital	0.091	0.042	0.048	0.230	0.077	0.078	-0.125	-0.211	-0.207
	(0.231)	(0.232)	(0.232)	(0.261)	(0.270)	(0.269)	(0.232)	(0.233)	(0.232)
	[-0.362 - 0.543]	[-0.413 - 0.496]	[-0.407 - 0.502]	[-0.282 - 0.741]	[-0.451 - 0.606]	[-0.449 - 0.605]	[-0.579 - 0.329]	[-0.667 - 0.246]	[-0.662 - 0.248]
	0.695	0.857	0.837	0.379	0.774	0.771	0.588	0.366	0.372
6.marital	0.386	0.376	0.383	0.535	0.505	0.498	-0.063	-0.102	-0.097
	(0.259)	(0.259)	(0.259)	(0.278)	(0.279)	(0.282)	(0.267)	(0.267)	(0.265)
	[-0.122 - 0.895]	[-0.132 - 0.884]	[-0.125 - 0.891]	[-0.011 - 1.081]	[-0.043 - 1.052]	[-0.054 - 1.050]	[-0.586 - 0.461]	[-0.624 - 0.421]	[-0.618 - 0.423]
	0.137	0.147	0.140	0.055	0.071	0.077	0.815	0.703	0.713
2.relig	-0.361	-0.369	-0.384	-0.171	-0.210	-0.204	0.205	0.150	0.152
	(0.209)	(0.211)	(0.210)	(0.254)	(0.262)	(0.263)	(0.203)	(0.205)	(0.205)
	[-0.771 - 0.049]	[-0.782 - 0.044]	[-0.796 - 0.028]	[-0.670 - 0.327]	[-0.725 - 0.304]	[-0.720 - 0.312]	[-0.193 - 0.603]	[-0.252 - 0.552]	[-0.250 - 0.553]
	0.084	0.080	0.067	0.501	0.423	0.438	0.313	0.464	0.460
3.relig	-0.788	-0.838	-0.820	-0.820	-0.941	-0.969	-0.336	-0.418	-0.405
	(0.744)	(0.767)	(0.773)	(0.737)	(0.793)	(0.777)	(0.660)	(0.634)	(0.624)
	[-2.247 - 0.671]	[-2.341 - 0.665]	[-2.335 - 0.695]	[-2.265 - 0.624]	[-2.496 - 0.614]	[-2.493 - 0.554]	[-1.629 - 0.957]	[-1.661 - 0.825]	[-1.629 - 0.818]
	0.290	0.274	0.289	0.266	0.235	0.212	0.611	0.510	0.516
4.relig	2.596	2.511	2.477	2.203	2.045	1.980	0.655	0.607	0.726
	(1.081)	(1.108)	(1.124)	(0.889)	(0.915)	(0.938)	(0.726)	(0.666)	(0.667)
	[0.477 - 4.715]	[0.340 - 4.682]	[0.273 - 4.680]	[0.461 - 3.945]	[0.251 - 3.840]	[0.143 - 3.818]	[-0.768 - 2.078]	[-0.698 - 1.913]	[-0.581 - 2.032]
	0.016	0.023	0.028	0.013	0.025	0.035	0.367	0.362	0.276
5.relig	0.521	0.480	0.453	0.424	0.323	0.317	0.458	0.372	0.401
	(0.474)	(0.472)	(0.473)	(0.539)	(0.542)	(0.532)	(0.483)	(0.483)	(0.484)
	[-0.408 - 1.451]	[-0.446 - 1.406]	[-0.473 - 1.379]	[-0.632 - 1.481]	[-0.739 - 1.385]	[-0.727 - 1.360]	[-0.489 - 1.404]	[-0.575 - 1.319]	[-0.546 - 1.349]
	0.271	0.310	0.338	0.431	0.551	0.552	0.343	0.442	0.407
6.relig	-0.782	-0.844	-0.802	-0.143	-0.222	-0.240	0.221	0.092	0.080
	(0.854)	(0.867)	(0.860)	(1.042)	(1.083)	(1.074)	(0.871)	(0.875)	(0.898)
	[-2.456 - 0.891]	[-2.542 - 0.855]	[-2.487 - 0.883]	[-2.185 - 1.898]	[-2.344 - 1.900]	[-2.346 - 1.865]	[-1.485 - 1.927]	[-1.622 - 1.806]	[-1.680 - 1.839]
	0.360	0.330	0.351	0.891	0.837	0.823	0.799	0.916	0.929
7.relig	0.676	0.623	0.544	-0.154	-0.204	-0.203	-0.719	-0.839	-0.788
	(0.567)	(0.570)	(0.567)	(0.719)	(0.688)	(0.688)	(0.601)	(0.579)	(0.595)
	[-0.436 - 1.788]	[-0.494 - 1.740]	[-0.566 - 1.654]	[-1.564 - 1.257]	[-1.553 - 1.145]	[-1.552 - 1.146]	[-1.897 - 0.458]	[-1.974 - 0.297]	[-1.953 - 0.378]
	0.234	0.275	0.337	0.831	0.767	0.768	0.231	0.148	0.185
8.relig	-1.760	-1.824	-1.820	-2.172	-2.219	-2.262	-0.856	-1.035	-1.026
	(0.884)	(0.882)	(0.890)	(1.088)	(1.120)	(1.133)	(0.805)	(0.822)	(0.816)
	[-3.492 - -0.027]	[-3.552 - -0.096]	[-3.566 - -0.075]	[-4.304 - -0.040]	[-4.415 - -0.023]	[-4.483 - -0.041]	[-2.433 - 0.721]	[-2.647 - 0.577]	[-2.625 - 0.573]
	0.046	0.039	0.041	0.046	0.048	0.046	0.288	0.208	0.209
9.relig	0.903	0.783	0.778	0.530	0.292	0.307	1.384	1.138	1.118
	(0.370)	(0.382)	(0.387)	(0.319)	(0.326)	(0.329)	(0.406)	(0.414)	(0.410)
	[0.179 - 1.627]	[0.035 - 1.532]	[0.020 - 1.536]	[-0.096 - 1.155]	[-0.347 - 0.930]	[-0.337 - 0.951]	[0.589 - 2.179]	[0.327 - 1.949]	[0.314 - 1.921]
	0.015	0.040	0.044	0.097	0.371	0.350	0.001	0.006	0.006
10.relig	0.335	0.256	0.237	0.178	0.029	0.035	0.689	0.519	0.522
	(0.337)	(0.346)	(0.350)	(0.354)	(0.359)	(0.361)	(0.373)	(0.378)	(0.378)
	[-0.325 - 0.995]	[-0.423 - 0.935]	[-0.449 - 0.923]	[-0.516 - 0.873]	[-0.675 - 0.734]	[-0.673 - 0.743]	[-0.042 - 1.420]	[-0.222 - 1.261]	[-0.220 - 1.263]
	0.320	0.460	0.498	0.615	0.935	0.922	0.065	0.170	0.168
11.relig	0.444	0.399	0.403	0.554	0.452	0.460	0.966	0.854	0.847
	(0.223)	(0.229)	(0.230)	(0.247)	(0.251)	(0.251)	(0.242)	(0.246)	(0.246)
