	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
2.treat	-0.332	-0.257	-0.307	-0.160	-0.317	-0.540	-0.288	-0.424	-0.175	-0.240	-0.148	-0.273
	(0.153)	(0.266)	(0.153)	(0.228)	(0.178)	(0.316)	(0.177)	(0.258)	(0.155)	(0.265)	(0.155)	(0.232)
	[-0.632 - -0.032]	[-0.779 - 0.265]	[-0.607 - -0.008]	[-0.608 - 0.288]	[-0.666 - 0.031]	[-1.160 - 0.080]	[-0.635 - 0.060]	[-0.931 - 0.083]	[-0.478 - 0.129]	[-0.760 - 0.280]	[-0.451 - 0.156]	[-0.728 - 0.182]
	0.030	0.335	0.044	0.483	0.074	0.088	0.104	0.101	0.259	0.366	0.340	0.239
3.treat	-0.128	0.042	-0.125	-0.006	-0.261	-0.486	-0.260	-0.438	0.174	0.549	0.175	0.327
	(0.159)	(0.278)	(0.159)	(0.238)	(0.176)	(0.286)	(0.177)	(0.245)	(0.158)	(0.269)	(0.157)	(0.236)
	[-0.440 - 0.184]	[-0.503 - 0.587]	[-0.436 - 0.186]	[-0.473 - 0.462]	[-0.606 - 0.084]	[-1.046 - 0.075]	[-0.607 - 0.087]	[-0.918 - 0.042]	[-0.136 - 0.484]	[0.021 - 1.077]	[-0.134 - 0.483]	[-0.136 - 0.789]
	0.421	0.879	0.431	0.981	0.138	0.089	0.142	0.074	0.272	0.041	0.267	0.166
2.partyid3	0.119	0.245			0.061	-0.088			-0.186	0.016		
	(0.155)	(0.248)			(0.167)	(0.268)			(0.155)	(0.253)		
	[-0.184 - 0.422]	[-0.241 - 0.732]			[-0.267 - 0.388]	[-0.613 - 0.437]			[-0.489 - 0.118]	[-0.480 - 0.512]		
	0.440	0.323			0.717	0.743			0.230	0.950		
3.partyid3	-0.213	-0.101			-0.606	-0.933			-0.553	-0.478		
	(0.163)	(0.256)			(0.198)	(0.333)			(0.161)	(0.258)		
	[-0.533 - 0.107]	[-0.603 - 0.401]			[-0.994 - -0.217]	[-1.585 - -0.280]			[-0.869 - -0.237]	[-0.984 - 0.027]		
	0.191	0.695			0.002	0.005			0.001	0.064		
