	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
2.treat	-0.315	-0.303	-0.036	-0.285	-0.269	-0.524	-0.152	-0.156	-0.329
	(0.152)	(0.153)	(0.331)	(0.176)	(0.177)	(0.359)	(0.152)	(0.155)	(0.340)
	[-0.613 - -0.017]	[-0.603 - -0.004]	[-0.684 - 0.613]	[-0.630 - 0.060]	[-0.616 - 0.079]	[-1.228 - 0.179]	[-0.450 - 0.145]	[-0.460 - 0.148]	[-0.995 - 0.337]
	0.038	0.047	0.914	0.105	0.130	0.144	0.315	0.314	0.333
3.treat	-0.137	-0.127	0.027	-0.278	-0.263	-0.749	0.171	0.170	0.675
	(0.157)	(0.159)	(0.357)	(0.172)	(0.176)	(0.358)	(0.159)	(0.157)	(0.339)
	[-0.446 - 0.171]	[-0.438 - 0.184]	[-0.673 - 0.727]	[-0.615 - 0.059]	[-0.608 - 0.082]	[-1.452 - -0.047]	[-0.140 - 0.482]	[-0.138 - 0.479]	[0.010 - 1.341]
	0.383	0.423	0.939	0.106	0.136	0.036	0.281	0.279	0.047
partyid7		-0.068	-0.035		-0.132	-0.195		-0.140	-0.112
		(0.033)	(0.050)		(0.036)	(0.058)		(0.032)	(0.052)
		[-0.132 - -0.004]	[-0.134 - 0.063]		[-0.202 - -0.062]	[-0.308 - -0.082]		[-0.204 - -0.077]	[-0.214 - -0.011]
		0.037	0.479		0.000	0.001		0.000	0.030
1b.treat#co.partyid7			0.000			0.000			0.000
			(0.000)			(0.000)			(0.000)
			[0.000 - 0.000]			[0.000 - 0.000]			[0.000 - 0.000]
			.			.			.
2.treat#c.partyid7			-0.070			0.072			0.044
			(0.076)			(0.084)			(0.078)
			[-0.218 - 0.078]			[-0.093 - 0.237]			[-0.108 - 0.196]
			0.356			0.393			0.573
3.treat#c.partyid7			-0.041			0.136			-0.130
			(0.081)			(0.087)			(0.077)
			[-0.199 - 0.118]			[-0.034 - 0.307]			[-0.281 - 0.021]
			0.615			0.117			0.093
col				.	.	.			
				(.)	(.)	(.)			
				[. - .]	[. - .]	[. - .]			
				.	.	.			
lib							.	.	.
							(.)	(.)	(.)
							[. - .]	[. - .]	[. - .]
							.	.	.
Constant	-0.068	0.186	0.061	-0.924	-0.451	-0.229	0.100	0.647	0.540
	(0.104)	(0.161)	(0.214)	(0.118)	(0.177)	(0.232)	(0.104)	(0.163)	(0.223)
	[-0.272 - 0.135]	[-0.130 - 0.502]	[-0.359 - 0.481]	[-1.155 - -0.693]	[-0.798 - -0.104]	[-0.684 - 0.225]	[-0.105 - 0.304]	[0.327 - 0.967]	[0.103 - 0.977]
	0.511	0.249	0.775	0.000	0.011	0.322	0.340	0.000	0.015
									
Observations	2,016	2,009	2,009	2,012	2,005	2,005	2,009	2,002	2,002
Robust standard errors in brackets									
