	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
	spk_r1	spk_r1d1	spk_r1d2	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	col_r1	col_r1d1	col_r1d2	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	lib_r1	lib_r1d1	lib_r1d2	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6
VARIABLES	y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1	
																														
1bno._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
2o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
3o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
4o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
5o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
6o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
7o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
1bn._at									-0.2	-0.5									-3.2	-11.2									-1.8	-5.9
									(1.2)	(5.9)									(1.0)	(5.2)									(1.1)	(5.9)
									[-0.025 - 0.021]	[-0.120 - 0.110]									[-0.052 - -0.012]	[-0.211 - -0.012]									[-0.040 - 0.004]	[-0.038 - 0.187]
									0.850	0.935									0.002	0.027									0.109	0.318
2._at									-2.8	-3.2									-1.9	-7.0									-1.1	5.4
									(1.2)	(4.6)									(1.0)	(3.9)									(1.3)	(4.6)
									[-0.051 - -0.004]	[-0.121 - 0.058]									[-0.040 - 0.001]	[-0.147 - 0.007]									[-0.036 - 0.015]	[-0.037 - 0.145]
									0.020	0.491									0.063	0.075									0.418	0.266
3._at									-0.8	-5.8									-0.8	-5.6									-3.9	3.3
									(1.3)	(3.7)									(1.1)	(3.1)									(1.2)	(3.8)
									[-0.034 - 0.017]	[-0.130 - 0.014]									[-0.031 - 0.014]	[-0.118 - 0.004]									[-0.062 - -0.016]	[-0.116 - 0.028]
									0.520	0.112									0.469	0.076									0.001	0.381
4._at										-8.4										-4.2										1.1
										(3.4)										(3.1)										(3.3)
										[-0.150 - -0.018]										[-0.093 - 0.029]										[-0.102 - 0.029]
										0.012										0.162										0.274
5._at										-11.0										-0.9										-2.9
										(3.8)										(3.4)										(3.8)
										[-0.184 - -0.035]										[-0.081 - 0.062]										[-0.103 - 0.046]
										0.004										0.380										0.448
6._at										-13.4										-1.9										-2.1
										(4.8)										(4.4)										(4.8)
										[-0.228 - -0.041]										[-0.076 - 0.098]										[-0.127 - 0.059]
										0.005										0.803										0.664
7._at										-15.8										-1.0										-5.6
										(5.9)										(4.7)										(6.2)
										[-0.275 - -0.042]										[-0.102 - 0.082]										[-0.134 - 0.107]
										0.008										0.833										0.351
1bn._at									-0.2	-3.2									-3.2	-8.5									-1.8	7.4
									(1.2)	(5.8)									(1.0)	(5.1)									(1.1)	(5.7)
									[-0.025 - 0.021]	[-0.145 - 0.081]									[-0.052 - -0.012]	[-0.188 - 0.017]									[-0.040 - 0.004]	[-0.175 - 0.057]
									0.850	0.579									0.002	0.103									0.109	0.195
2._at									-2.8	-3.8									-1.9	-8.3									-1.1	-5.2
									(1.2)	(4.5)									(1.0)	(3.8)									(1.3)	(4.6)
									[-0.051 - -0.004]	[-0.127 - 0.050]									[-0.040 - 0.001]	[-0.158 - -0.008]									[-0.036 - 0.015]	[-0.143 - 0.039]
									0.020	0.398									0.063	0.029									0.418	0.242
3._at									-0.8	-4.4									-0.8	-5.7									-3.9	-4.4
									(1.3)	(3.6)									(1.1)	(3.1)									(1.2)	(3.7)
									[-0.034 - 0.017]	[-0.115 - 0.026]									[-0.031 - 0.014]	[-0.117 - 0.006]									[-0.062 - -0.016]	[-0.041 - 0.107]
									0.520	0.219									0.469	0.068									0.001	0.230
4._at										-5.1										-3.2										-3.7
										(3.3)										(3.0)										(3.4)
										[-0.116 - 0.015]										[-0.102 - 0.017]										[-0.056 - 0.078]
										0.130										0.300										0.749
5._at										-5.7										-3.0										-1.1
										(3.8)										(3.6)										(3.8)
										[-0.132 - 0.018]										[-0.098 - 0.037]										[-0.086 - 0.063]
										0.139										0.796										0.763
6._at										-6.3										1.1										-3.4
										(4.9)										(4.1)										(4.8)
										[-0.158 - 0.032]										[-0.099 - 0.060]										[-0.116 - 0.074]
										0.197										0.633										0.477
7._at										-6.9										2.9										-1.3
										(6.1)										(5.3)										(6.0)
										[-0.189 - 0.052]										[-0.074 - 0.132]										[-0.173 - 0.061]
										0.263										0.578										0.830
1bn.treat	49.2				48.9						28.3				27.6						53.6				53.5					
	(2.3)				(2.3)						(2.1)				(2.1)						(2.3)				(2.3)					
	[0.447 - 0.536]				[0.444 - 0.534]						[0.241 - 0.325]				[0.235 - 0.318]						[0.490 - 0.582]				[0.489 - 0.581]					
	0.000				0.000						0.000				0.000						0.000				0.000					
2.treat	40.6	-8.5			41.0	-7.9					22.8	-5.5			22.9	-4.7					49.8	-3.8			49.8	-3.7				
	(2.4)	(3.3)			(2.4)	(3.3)					(2.0)	(2.9)			(2.0)	(2.9)					(2.3)	(3.3)			(2.3)	(3.3)				
	[0.360 - 0.453]	[-0.150 - -0.020]			[0.363 - 0.456]	[-0.145 - -0.014]					[0.189 - 0.268]	[-0.112 - 0.003]			[0.190 - 0.269]	[-0.104 - 0.010]					[0.452 - 0.543]	[-0.103 - 0.027]			[0.453 - 0.544]	[-0.102 - 0.028]				
	0.000	0.010			0.000	0.018					0.000	0.063			0.000	0.107					0.000	0.254			0.000	0.266				
3.treat	43.7	-5.4	3.1		43.9	-5.0	3.0				23.3	-4.9	0.5		23.5	-4.1	0.6				54.3	0.7	4.5		54.7	1.2	4.8			
	(2.4)	(3.3)	(3.4)		(2.4)	(3.3)	(3.4)				(2.1)	(3.0)	(2.9)		(2.1)	(3.0)	(3.0)				(2.3)	(3.3)	(3.3)		(2.3)	(3.3)	(3.3)			
