	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)
	spk_r1	spk_r1d1	spk_r1d2	spk_r2	spk_r2d1	spk_r2d2	spk_r3	spk_r3d1	spk_r3d2	col_r1	col_r1d1	col_r1d2	col_r2	col_r2d1	col_r2d2	col_r3	col_r3d1	col_r3d2	lib_r1	lib_r1d1	lib_r1d2	lib_r2	lib_r2d1	lib_r2d2	lib_r3	lib_r3d1	lib_r3d2
VARIABLES	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1	y1
																											
1bn.treat	48.3			48.1			48.1			28.4			28.0			27.9			52.5			52.6			52.7		
	(2.6)			(2.6)			(2.6)			(2.4)			(2.4)			(2.4)			(2.6)			(2.6)			(2.6)		
	[0.432 - 0.534]			[0.430 - 0.532]			[0.430 - 0.532]			[0.237 - 0.331]			[0.234 - 0.326]			[0.233 - 0.326]			[0.474 - 0.576]			[0.475 - 0.578]			[0.476 - 0.578]		
	0.000			0.000			0.000			0.000			0.000			0.000			0.000			0.000			0.000		
2.treat	40.5	-7.8		40.7	-7.4		40.7	-7.4		23.0	-5.4		23.0	-5.0		23.0	-5.0		48.7	-3.8		48.8	-3.8		48.7	-4.0	
	(2.7)	(3.7)		(2.7)	(3.7)		(2.7)	(3.7)		(2.3)	(3.3)		(2.3)	(3.3)		(2.3)	(3.3)		(2.7)	(3.8)		(2.8)	(3.8)		(2.8)	(3.8)	
	[0.353 - 0.458]	[-0.151 - -0.005]		[0.354 - 0.459]	[-0.148 - -0.001]		[0.355 - 0.460]	[-0.147 - -0.001]		[0.185 - 0.275]	[-0.120 - 0.011]		[0.184 - 0.275]	[-0.115 - 0.014]		[0.184 - 0.275]	[-0.115 - 0.015]		[0.433 - 0.541]	[-0.112 - 0.036]		[0.434 - 0.542]	[-0.113 - 0.036]		[0.433 - 0.541]	[-0.114 - 0.035]	
	0.000	0.037		0.000	0.046		0.000	0.047		0.000	0.103		0.000	0.128		0.000	0.130		0.000	0.315		0.000	0.314		0.000	0.295	
3.treat	44.9	-3.4	4.3	45.0	-3.1	4.3	45.0	-3.2	4.2	23.1	-5.3	0.1	23.1	-4.9	0.1	23.1	-4.8	0.2	56.7	4.2	8.0	56.8	4.1	8.0	56.7	4.1	8.0
	(2.9)	(3.9)	(4.0)	(2.9)	(3.9)	(4.0)	(2.9)	(3.9)	(4.0)	(2.2)	(3.3)	(3.2)	(2.3)	(3.3)	(3.3)	(2.3)	(3.3)	(3.2)	(2.9)	(3.9)	(4.0)	(2.8)	(3.8)	(3.9)	(2.7)	(3.8)	(3.9)
	[0.391 - 0.506]	[-0.111 - 0.042]	[-0.034 - 0.121]	[0.392 - 0.507]	[-0.108 - 0.045]	[-0.035 - 0.121]	[0.392 - 0.507]	[-0.108 - 0.045]	[-0.035 - 0.120]	[0.187 - 0.275]	[-0.117 - 0.011]	[-0.062 - 0.064]	[0.186 - 0.276]	[-0.114 - 0.015]	[-0.063 - 0.065]	[0.187 - 0.276]	[-0.112 - 0.016]	[-0.061 - 0.065]	[0.510 - 0.625]	[-0.034 - 0.119]	[0.002 - 0.159]	[0.513 - 0.623]	[-0.033 - 0.116]	[0.003 - 0.157]	[0.514 - 0.621]	[-0.033 - 0.114]	[0.004 - 0.156]
	0.000	0.382	0.274	0.000	0.422	0.279	0.000	0.417	0.286	0.000	0.105	0.969	0.000	0.134	0.974	0.000	0.140	0.953	0.000	0.280	0.045	0.000	0.278	0.042	0.000	0.283	0.039
1.treat			7.8			7.4			7.4			5.4			5.0			5.0			3.8			3.8			4.0
			(3.7)			(3.7)			(3.7)			(3.3)			(3.3)			(3.3)			(3.8)			(3.8)			(3.8)
			[0.005 - 0.151]			[0.001 - 0.148]			[0.001 - 0.147]			[-0.011 - 0.120]			[-0.014 - 0.115]			[-0.015 - 0.115]			[-0.036 - 0.112]			[-0.036 - 0.113]			[-0.035 - 0.114]
			0.037			0.046			0.047			0.103			0.128			0.130			0.315			0.314			0.295
partyid7					-1.7	-1.7		-1.7	-1.7					-2.4	-2.4		-2.4	-2.4					-3.4	-3.4		-3.3	-3.3
					(0.8)	(0.8)		(0.8)	(0.8)					(0.7)	(0.7)		(0.6)	(0.6)					(0.8)	(0.8)		(0.7)	(0.7)
					[-0.032 - -0.001]	[-0.032 - -0.001]		[-0.033 - -0.002]	[-0.033 - -0.002]					[-0.037 - -0.012]	[-0.037 - -0.012]		[-0.037 - -0.012]	[-0.037 - -0.012]					[-0.049 - -0.019]	[-0.049 - -0.019]		[-0.048 - -0.018]	[-0.048 - -0.018]
					0.036	0.036		0.029	0.029					0.000	0.000		0.000	0.000					0.000	0.000		0.000	0.000
																											
Observations	2,016	2,016	2,016	2,009	2,009	2,009	2,009	2,009	2,009	2,012	2,012	2,012	2,005	2,005	2,005	2,005	2,005	2,005	2,009	2,009	2,009	2,002	2,002	2,002	2,002	2,002	2,002
Standard errors in brackets																											
