	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
2.region4	0.026	0.027	0.025	0.026	0.053	0.053	0.052	0.048	-0.002	-0.000	-0.004	-0.003
	(0.047)	(0.046)	(0.047)	(0.046)	(0.042)	(0.042)	(0.041)	(0.041)	(0.044)	(0.044)	(0.044)	(0.044)
	[-0.065 - 0.117]	[-0.063 - 0.117]	[-0.066 - 0.117]	[-0.064 - 0.117]	[-0.028 - 0.135]	[-0.029 - 0.135]	[-0.029 - 0.133]	[-0.032 - 0.129]	[-0.088 - 0.085]	[-0.087 - 0.086]	[-0.090 - 0.082]	[-0.089 - 0.083]
	0.573	0.558	0.587	0.570	0.200	0.209	0.210	0.240	0.965	0.993	0.929	0.946
3.region4	-0.004	-0.004	-0.003	-0.003	0.031	0.031	0.033	0.031	-0.085	-0.086	-0.084	-0.084
	(0.045)	(0.045)	(0.045)	(0.045)	(0.039)	(0.039)	(0.038)	(0.038)	(0.042)	(0.042)	(0.042)	(0.042)
	[-0.092 - 0.084]	[-0.092 - 0.084]	[-0.091 - 0.085]	[-0.091 - 0.085]	[-0.044 - 0.107]	[-0.045 - 0.107]	[-0.043 - 0.108]	[-0.045 - 0.106]	[-0.168 - -0.002]	[-0.169 - -0.004]	[-0.166 - -0.001]	[-0.166 - -0.002]
	0.929	0.933	0.947	0.949	0.419	0.428	0.395	0.426	0.044	0.040	0.047	0.046
4.region4	0.041	0.041	0.041	0.039	0.080	0.082	0.081	0.081	0.030	0.031	0.028	0.030
	(0.049)	(0.049)	(0.049)	(0.049)	(0.043)	(0.043)	(0.042)	(0.043)	(0.046)	(0.045)	(0.045)	(0.045)
	[-0.056 - 0.137]	[-0.056 - 0.137]	[-0.056 - 0.138]	[-0.058 - 0.136]	[-0.003 - 0.164]	[-0.002 - 0.166]	[-0.002 - 0.164]	[-0.002 - 0.164]	[-0.060 - 0.119]	[-0.058 - 0.120]	[-0.061 - 0.117]	[-0.059 - 0.119]
	0.412	0.410	0.405	0.427	0.060	0.057	0.057	0.057	0.515	0.493	0.531	0.506
1.metro	0.029	0.034	0.030	0.032	0.048	0.049	0.050	0.051	0.057	0.052	0.056	0.054
