	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
2.region4	0.024	0.023	0.026	0.046	0.052	0.051	-0.003	-0.003	0.002
	(0.046)	(0.047)	(0.046)	(0.042)	(0.042)	(0.042)	(0.044)	(0.044)	(0.044)
	[-0.067 - 0.115]	[-0.069 - 0.115]	[-0.065 - 0.117]	[-0.036 - 0.127]	[-0.031 - 0.135]	[-0.031 - 0.132]	[-0.090 - 0.083]	[-0.089 - 0.084]	[-0.084 - 0.087]
	0.605	0.620	0.575	0.269	0.223	0.222	0.938	0.951	0.970
3.region4	-0.009	-0.003	-0.001	0.019	0.033	0.034	-0.089	-0.081	-0.082
	(0.045)	(0.045)	(0.045)	(0.038)	(0.039)	(0.039)	(0.042)	(0.042)	(0.042)
	[-0.097 - 0.079]	[-0.091 - 0.086]	[-0.089 - 0.087]	[-0.056 - 0.093]	[-0.043 - 0.110]	[-0.041 - 0.110]	[-0.171 - -0.007]	[-0.164 - 0.002]	[-0.164 - 0.001]
	0.842	0.954	0.985	0.621	0.395	0.374	0.032	0.055	0.052
4.region4	0.036	0.038	0.040	0.068	0.077	0.081	0.027	0.031	0.030
	(0.049)	(0.050)	(0.049)	(0.042)	(0.043)	(0.042)	(0.045)	(0.045)	(0.045)
	[-0.060 - 0.132]	[-0.059 - 0.136]	[-0.056 - 0.136]	[-0.014 - 0.151]	[-0.007 - 0.162]	[-0.002 - 0.164]	[-0.062 - 0.115]	[-0.058 - 0.120]	[-0.058 - 0.117]
	0.461	0.440	0.411	0.105	0.072	0.056	0.556	0.496	0.509
1.metro	0.026	0.027	0.032	0.045	0.046	0.049	0.053	0.057	0.051
	(0.049)	(0.048)	(0.049)	(0.043)	(0.042)	(0.042)	(0.048)	(0.048)	(0.048)
	[-0.069 - 0.121]	[-0.067 - 0.121]	[-0.063 - 0.127]	[-0.039 - 0.128]	[-0.037 - 0.128]	[-0.033 - 0.131]	[-0.042 - 0.148]	[-0.038 - 0.151]	[-0.043 - 0.146]
	0.592	0.578	0.512	0.295	0.278	0.242	0.271	0.241	0.286
1.female	-0.119	-0.123	-0.126	-0.033	-0.040	-0.040	0.001	-0.007	-0.006
	(0.028)	(0.029)	(0.028)	(0.026)	(0.026)	(0.026)	(0.029)	(0.029)	(0.029)
	[-0.175 - -0.064]	[-0.180 - -0.067]	[-0.182 - -0.071]	[-0.083 - 0.017]	[-0.091 - 0.010]	[-0.090 - 0.010]	[-0.056 - 0.059]	[-0.064 - 0.050]	[-0.063 - 0.051]
	0.000	0.000	0.000	0.195	0.114	0.115	0.960	0.814	0.847
2.age4	-0.107	-0.114	-0.117	-0.067	-0.071	-0.071	-0.108	-0.109	-0.110
	(0.050)	(0.050)	(0.050)	(0.047)	(0.047)	(0.047)	(0.049)	(0.050)	(0.049)
	[-0.205 - -0.009]	[-0.213 - -0.016]	[-0.215 - -0.020]	[-0.160 - 0.026]	[-0.164 - 0.021]	[-0.163 - 0.020]	[-0.205 - -0.011]	[-0.206 - -0.012]	[-0.207 - -0.013]
	0.032	0.023	0.019	0.157	0.132	0.126	0.028	0.028	0.026
3.age4	-0.170	-0.170	-0.173	-0.126	-0.122	-0.123	-0.200	-0.200	-0.198
	(0.053)	(0.054)	(0.053)	(0.050)	(0.050)	(0.050)	(0.053)	(0.052)	(0.052)
	[-0.274 - -0.066]	[-0.275 - -0.065]	[-0.277 - -0.069]	[-0.225 - -0.027]	[-0.220 - -0.023]	[-0.221 - -0.026]	[-0.304 - -0.096]	[-0.303 - -0.097]	[-0.301 - -0.096]
	0.001	0.002	0.001	0.012	0.016	0.013	0.000	0.000	0.000
4.age4	-0.174	-0.176	-0.178	-0.166	-0.166	-0.169	-0.164	-0.171	-0.169
	(0.061)	(0.062)	(0.062)	(0.056)	(0.056)	(0.055)	(0.061)	(0.061)	(0.061)
	[-0.294 - -0.054]	[-0.298 - -0.054]	[-0.298 - -0.057]	[-0.277 - -0.056]	[-0.276 - -0.056]	[-0.277 - -0.060]	[-0.285 - -0.044]	[-0.291 - -0.051]	[-0.289 - -0.050]
	0.005	0.005	0.004	0.003	0.003	0.002	0.008	0.005	0.005
2.race4	-0.001	-0.030	-0.032	0.018	-0.024	-0.018	0.004	-0.038	-0.034
	(0.049)	(0.052)	(0.051)	(0.043)	(0.046)	(0.046)	(0.051)	(0.054)	(0.054)
	[-0.096 - 0.095]	[-0.131 - 0.071]	[-0.132 - 0.068]	[-0.066 - 0.101]	[-0.114 - 0.066]	[-0.108 - 0.071]	[-0.097 - 0.105]	[-0.143 - 0.068]	[-0.140 - 0.071]
	0.987	0.563	0.529	0.678	0.602	0.690	0.938	0.483	0.521
3.race4	-0.044	-0.055	-0.049	0.001	-0.019	-0.013	0.013	0.004	0.004
	(0.061)	(0.060)	(0.061)	(0.056)	(0.055)	(0.055)	(0.052)	(0.052)	(0.052)
	[-0.164 - 0.076]	[-0.173 - 0.064]	[-0.168 - 0.069]	[-0.108 - 0.110]	[-0.126 - 0.089]	[-0.121 - 0.095]	[-0.090 - 0.116]	[-0.097 - 0.105]	[-0.098 - 0.107]
	0.469	0.366	0.414	0.986	0.734	0.811	0.802	0.934	0.935
4.race4	0.047	0.025	0.029	-0.047	-0.071	-0.067	-0.082	-0.097	-0.094
	(0.046)	(0.047)	(0.046)	(0.039)	(0.040)	(0.040)	(0.044)	(0.044)	(0.044)
	[-0.042 - 0.137]	[-0.067 - 0.116]	[-0.062 - 0.119]	[-0.124 - 0.031]	[-0.150 - 0.007]	[-0.145 - 0.010]	[-0.167 - 0.004]	[-0.184 - -0.011]	[-0.180 - -0.008]
	0.299	0.599	0.534	0.236	0.076	0.088	0.061	0.027	0.032
2.hhsize	-0.071	-0.073	-0.076	-0.037	-0.045	-0.048	-0.098	-0.105	-0.107
	(0.050)	(0.050)	(0.050)	(0.045)	(0.046)	(0.045)	(0.046)	(0.046)	(0.046)
	[-0.169 - 0.027]	[-0.172 - 0.025]	[-0.175 - 0.022]	[-0.125 - 0.052]	[-0.134 - 0.045]	[-0.136 - 0.040]	[-0.189 - -0.008]	[-0.196 - -0.014]	[-0.197 - -0.016]
	0.156	0.144	0.130	0.415	0.328	0.286	0.033	0.024	0.021
3.hhsize	-0.102	-0.101	-0.103	-0.070	-0.073	-0.077	-0.172	-0.176	-0.176
	(0.055)	(0.055)	(0.055)	(0.048)	(0.048)	(0.048)	(0.053)	(0.053)	(0.053)
	[-0.210 - 0.007]	[-0.209 - 0.007]	[-0.211 - 0.006]	[-0.164 - 0.024]	[-0.167 - 0.022]	[-0.171 - 0.016]	[-0.275 - -0.069]	[-0.280 - -0.073]	[-0.280 - -0.073]
	0.066	0.067	0.063	0.144	0.131	0.106	0.001	0.001	0.001
4.hhsize	0.008	0.018	0.012	-0.023	-0.021	-0.027	-0.139	-0.137	-0.141
	(0.062)	(0.062)	(0.062)	(0.057)	(0.058)	(0.058)	(0.058)	(0.059)	(0.058)
	[-0.112 - 0.129]	[-0.104 - 0.140]	[-0.109 - 0.132]	[-0.136 - 0.089]	[-0.135 - 0.093]	[-0.140 - 0.086]	[-0.252 - -0.025]	[-0.252 - -0.022]	[-0.256 - -0.027]
	0.891	0.769	0.851	0.685	0.718	0.634	0.017	0.020	0.015
5.hhsize	-0.018	-0.020	-0.013	-0.044	-0.054	-0.056	-0.028	-0.046	-0.049
	(0.068)	(0.067)	(0.068)	(0.062)	(0.061)	(0.061)	(0.063)	(0.063)	(0.062)
	[-0.152 - 0.115]	[-0.151 - 0.112]	[-0.145 - 0.120]	[-0.165 - 0.077]	[-0.173 - 0.066]	[-0.175 - 0.063]	[-0.151 - 0.096]	[-0.170 - 0.077]	[-0.171 - 0.074]
	0.787	0.768	0.850	0.472	0.377	0.357	0.660	0.461	0.436
6.hhsize	-0.036	-0.028	-0.033	0.024	0.025	0.012	-0.123	-0.132	-0.131
	(0.068)	(0.067)	(0.068)	(0.059)	(0.060)	(0.059)	(0.062)	(0.062)	(0.062)
	[-0.169 - 0.097]	[-0.160 - 0.103]	[-0.166 - 0.101]	[-0.093 - 0.140]	[-0.093 - 0.142]	[-0.104 - 0.128]	[-0.244 - -0.002]	[-0.254 - -0.010]	[-0.253 - -0.010]
	0.597	0.672	0.632	0.691	0.680	0.838	0.046	0.034	0.034
2.marital	-0.047	-0.060	-0.053	0.064	0.049	0.050	-0.061	-0.079	-0.070
	(0.082)	(0.080)	(0.081)	(0.071)	(0.072)	(0.071)	(0.067)	(0.065)	(0.066)
	[-0.208 - 0.113]	[-0.218 - 0.097]	[-0.213 - 0.107]	[-0.075 - 0.203]	[-0.093 - 0.190]	[-0.089 - 0.188]	[-0.193 - 0.070]	[-0.206 - 0.048]	[-0.200 - 0.059]
	0.563	0.453	0.515	0.366	0.499	0.483	0.360	0.224	0.287
3.marital	0.016	0.008	0.017	-0.009	-0.020	-0.017	-0.023	-0.030	-0.030
	(0.048)	(0.049)	(0.048)	(0.038)	(0.038)	(0.038)	(0.046)	(0.046)	(0.046)
	[-0.079 - 0.110]	[-0.087 - 0.104]	[-0.077 - 0.112]	[-0.084 - 0.065]	[-0.095 - 0.054]	[-0.091 - 0.057]	[-0.114 - 0.068]	[-0.120 - 0.060]	[-0.119 - 0.060]
	0.746	0.865	0.721	0.805	0.588	0.646	0.620	0.512	0.518
4.marital	0.234	0.258	0.269	0.230	0.252	0.250	-0.084	-0.087	-0.082
	(0.099)	(0.095)	(0.092)	(0.116)	(0.109)	(0.111)	(0.129)	(0.136)	(0.136)
	[0.041 - 0.427]	[0.071 - 0.445]	[0.088 - 0.449]	[0.001 - 0.458]	[0.039 - 0.466]	[0.032 - 0.467]	[-0.338 - 0.170]	[-0.354 - 0.180]	[-0.349 - 0.185]
	0.018	0.007	0.004	0.049	0.021	0.024	0.518	0.524	0.548
5.marital	0.020	0.014	0.011	0.038	0.016	0.013	-0.025	-0.042	-0.044
	(0.049)	(0.049)	(0.049)	(0.046)	(0.047)	(0.047)	(0.049)	(0.049)	(0.049)
	[-0.075 - 0.116]	[-0.083 - 0.111]	[-0.085 - 0.107]	[-0.052 - 0.129]	[-0.077 - 0.108]	[-0.078 - 0.105]	[-0.120 - 0.071]	[-0.139 - 0.055]	[-0.140 - 0.052]
	0.675	0.776	0.817	0.406	0.738	0.775	0.612	0.393	0.370
6.marital	0.079	0.069	0.078	0.094	0.084	0.087	-0.010	-0.018	-0.016
	(0.056)	(0.056)	(0.056)	(0.053)	(0.053)	(0.053)	(0.058)	(0.057)	(0.057)
	[-0.032 - 0.190]	[-0.041 - 0.180]	[-0.032 - 0.188]	[-0.009 - 0.198]	[-0.019 - 0.188]	[-0.017 - 0.192]	[-0.123 - 0.103]	[-0.130 - 0.094]	[-0.128 - 0.096]
	0.163	0.221	0.165	0.073	0.111	0.101	0.866	0.749	0.773
2.relig	-0.074	-0.076	-0.079	-0.022	-0.031	-0.027	0.046	0.038	0.035
	(0.045)	(0.045)	(0.045)	(0.039)	(0.039)	(0.039)	(0.044)	(0.044)	(0.044)
	[-0.162 - 0.014]	[-0.163 - 0.012]	[-0.167 - 0.009]	[-0.098 - 0.053]	[-0.107 - 0.045]	[-0.103 - 0.049]	[-0.041 - 0.132]	[-0.049 - 0.124]	[-0.051 - 0.122]
	0.099	0.091	0.078	0.560	0.426	0.488	0.300	0.393	0.422
3.relig	-0.158	-0.166	-0.163	-0.114	-0.131	-0.134	-0.070	-0.075	-0.080
	(0.154)	(0.151)	(0.157)	(0.092)	(0.094)	(0.096)	(0.150)	(0.144)	(0.143)
	[-0.461 - 0.144]	[-0.461 - 0.130]	[-0.470 - 0.144]	[-0.294 - 0.066]	[-0.316 - 0.054]	[-0.323 - 0.055]	[-0.364 - 0.224]	[-0.357 - 0.206]	[-0.361 - 0.201]
	0.305	0.272	0.299	0.216	0.166	0.163	0.642	0.599	0.575
4.relig	0.373	0.359	0.366	0.363	0.353	0.340	0.133	0.126	0.147
	(0.120)	(0.119)	(0.116)	(0.140)	(0.142)	(0.147)	(0.151)	(0.130)	(0.128)
	[0.138 - 0.608]	[0.125 - 0.593]	[0.139 - 0.593]	[0.088 - 0.638]	[0.074 - 0.632]	[0.052 - 0.627]	[-0.162 - 0.429]	[-0.128 - 0.380]	[-0.103 - 0.398]
	0.002	0.003	0.002	0.010	0.013	0.021	0.377	0.331	0.250
5.relig	0.110	0.102	0.095	0.071	0.060	0.056	0.101	0.076	0.085
	(0.104)	(0.104)	(0.102)	(0.099)	(0.099)	(0.096)	(0.097)	(0.094)	(0.094)
	[-0.093 - 0.314]	[-0.102 - 0.306]	[-0.106 - 0.296]	[-0.124 - 0.266]	[-0.133 - 0.254]	[-0.132 - 0.243]	[-0.089 - 0.291]	[-0.109 - 0.262]	[-0.100 - 0.270]
	0.288	0.326	0.352	0.476	0.542	0.561	0.299	0.419	0.367
6.relig	-0.164	-0.172	-0.168	-0.030	-0.042	-0.048	0.055	0.032	0.027
	(0.188)	(0.201)	(0.190)	(0.207)	(0.219)	(0.209)	(0.183)	(0.181)	(0.187)
	[-0.532 - 0.204]	[-0.567 - 0.223]	[-0.541 - 0.206]	[-0.437 - 0.376]	[-0.472 - 0.387]	[-0.457 - 0.362]	[-0.305 - 0.414]	[-0.322 - 0.387]	[-0.340 - 0.394]
	0.382	0.394	0.379	0.883	0.847	0.819	0.766	0.858	0.885
7.relig	0.149	0.130	0.125	-0.029	-0.045	-0.038	-0.151	-0.181	-0.164
	(0.120)	(0.124)	(0.120)	(0.110)	(0.105)	(0.105)	(0.127)	(0.120)	(0.125)
	[-0.087 - 0.385]	[-0.114 - 0.373]	[-0.111 - 0.361]	[-0.245 - 0.187]	[-0.251 - 0.162]	[-0.245 - 0.168]	[-0.400 - 0.099]	[-0.416 - 0.053]	[-0.409 - 0.080]
	0.215	0.296	0.300	0.790	0.671	0.716	0.236	0.130	0.188
8.relig	-0.355	-0.353	-0.365	-0.278	-0.284	-0.297	-0.162	-0.183	-0.188
	(0.155)	(0.156)	(0.157)	(0.092)	(0.094)	(0.095)	(0.171)	(0.176)	(0.175)
	[-0.659 - -0.050]	[-0.659 - -0.046]	[-0.673 - -0.058]	[-0.458 - -0.097]	[-0.469 - -0.099]	[-0.483 - -0.111]	[-0.497 - 0.174]	[-0.528 - 0.161]	[-0.531 - 0.154]
	0.023	0.024	0.020	0.003	0.003	0.002	0.346	0.297	0.282
9.relig	0.186	0.158	0.160	0.106	0.064	0.070	0.255	0.205	0.201
	(0.068)	(0.071)	(0.071)	(0.064)	(0.066)	(0.065)	(0.060)	(0.063)	(0.062)
	[0.053 - 0.320]	[0.019 - 0.298]	[0.020 - 0.300]	[-0.020 - 0.233]	[-0.065 - 0.193]	[-0.058 - 0.198]	[0.137 - 0.373]	[0.081 - 0.329]	[0.079 - 0.323]
	0.006	0.026	0.026	0.098	0.334	0.285	0.000	0.001	0.001
10.relig	0.075	0.053	0.054	0.032	0.001	0.008	0.132	0.099	0.099
	(0.072)	(0.074)	(0.075)	(0.064)	(0.065)	(0.064)	(0.070)	(0.071)	(0.070)
	[-0.066 - 0.217]	[-0.093 - 0.198]	[-0.093 - 0.201]	[-0.093 - 0.156]	[-0.128 - 0.129]	[-0.118 - 0.135]	[-0.005 - 0.268]	[-0.040 - 0.237]	[-0.037 - 0.235]
	0.297	0.478	0.470	0.621	0.993	0.900	0.059	0.163	0.155
11.relig	0.098	0.091	0.089	0.097	0.078	0.079	0.199	0.176	0.173
	(0.049)	(0.050)	(0.050)	(0.045)	(0.045)	(0.045)	(0.049)	(0.050)	(0.050)
