	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
2.treat	-0.082	-0.063	-0.075	-0.040	-0.059	-0.109	-0.054	-0.087	-0.043	-0.060	-0.036	-0.067
	(0.037)	(0.065)	(0.037)	(0.057)	(0.033)	(0.062)	(0.033)	(0.052)	(0.038)	(0.066)	(0.038)	(0.057)
	[-0.155 - -0.008]	[-0.191 - 0.065]	[-0.149 - -0.002]	[-0.151 - 0.072]	[-0.124 - 0.006]	[-0.229 - 0.012]	[-0.118 - 0.011]	[-0.190 - 0.016]	[-0.118 - 0.032]	[-0.189 - 0.070]	[-0.111 - 0.038]	[-0.179 - 0.045]
	0.029	0.333	0.044	0.483	0.074	0.078	0.103	0.096	0.258	0.366	0.340	0.240
3.treat	-0.032	0.011	-0.031	-0.001	-0.049	-0.099	-0.049	-0.090	0.042	0.128	0.042	0.075
	(0.039)	(0.069)	(0.039)	(0.060)	(0.033)	(0.058)	(0.033)	(0.050)	(0.039)	(0.061)	(0.038)	(0.054)
	[-0.109 - 0.046]	[-0.126 - 0.147]	[-0.108 - 0.046]	[-0.118 - 0.116]	[-0.113 - 0.016]	[-0.212 - 0.014]	[-0.114 - 0.016]	[-0.188 - 0.008]	[-0.033 - 0.118]	[0.007 - 0.248]	[-0.032 - 0.117]	[-0.030 - 0.181]
	0.421	0.879	0.431	0.981	0.137	0.086	0.140	0.072	0.272	0.038	0.267	0.162
2.partyid3	0.029	0.061			0.012	-0.019			-0.046	0.004		
	(0.038)	(0.062)			(0.033)	(0.059)			(0.038)	(0.062)		
	[-0.046 - 0.104]	[-0.060 - 0.183]			[-0.054 - 0.077]	[-0.135 - 0.097]			[-0.120 - 0.029]	[-0.119 - 0.126]		
	0.441	0.322			0.724	0.744			0.230	0.950		
3.partyid3	-0.052	-0.025			-0.103	-0.170			-0.137	-0.119		
	(0.040)	(0.064)			(0.033)	(0.057)			(0.039)	(0.064)		
	[-0.130 - 0.026]	[-0.150 - 0.100]			[-0.167 - -0.038]	[-0.282 - -0.059]			[-0.214 - -0.059]	[-0.244 - 0.006]		
	0.191	0.695			0.002	0.003			0.001	0.062		
