	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
2.treat	-0.078		-0.011	-0.054		-0.115	-0.038		-0.081
	(0.037)		(0.082)	(0.033)		(0.073)	(0.038)		(0.084)
	[-0.151 - -0.004]		[-0.171 - 0.149]	[-0.120 - 0.011]		[-0.258 - 0.029]	[-0.112 - 0.036]		[-0.245 - 0.083]
	0.038		0.891	0.104		0.117	0.315		0.334
3.treat	-0.034		0.006	-0.053		-0.155	0.042		0.155
	(0.039)		(0.089)	(0.033)		(0.072)	(0.039)		(0.077)
	[-0.111 - 0.043]		[-0.168 - 0.181]	[-0.117 - 0.011]		[-0.296 - -0.014]	[-0.035 - 0.119]		[0.004 - 0.306]
	0.383		0.943	0.106		0.031	0.280		0.044
partyid7		-0.017	-0.009		-0.024	-0.038		-0.035	-0.028
		(0.008)	(0.012)		(0.007)	(0.011)		(0.008)	(0.013)
		[-0.033 - -0.001]	[-0.033 - 0.016]		[-0.037 - -0.012]	[-0.059 - -0.017]		[-0.050 - -0.019]	[-0.053 - -0.003]
		0.033	0.479		0.000	0.000		0.000	0.028
1b.treat#co.partyid7			0.000			0.000			0.000
			(0.000)			(0.000)			(0.000)
			[0.000 - 0.000]			[0.000 - 0.000]			[0.000 - 0.000]
			.			.			.
2.treat#c.partyid7			-0.016			0.017			0.011
			(0.018)			(0.015)			(0.019)
			[-0.052 - 0.020]			[-0.013 - 0.047]			[-0.027 - 0.048]
			0.373			0.274			0.575
3.treat#c.partyid7			-0.010			0.028			-0.030
			(0.020)			(0.016)			(0.018)
			[-0.049 - 0.029]			[-0.003 - 0.059]			[-0.065 - 0.005]
			0.619			0.080			0.098
col				.	.	.			
				(.)	(.)	(.)			
				[. - .]	[. - .]	[. - .]			
				.	.	.			
lib							.	.	.
							(.)	(.)	(.)
							[. - .]	[. - .]	[. - .]
							.	.	.
Constant	0.483	0.512	0.515	0.284	0.342	0.426	0.525	0.660	0.634
	(0.026)	(0.036)	(0.054)	(0.024)	(0.031)	(0.051)	(0.026)	(0.035)	(0.054)
	[0.432 - 0.534]	[0.442 - 0.582]	[0.410 - 0.620]	[0.237 - 0.331]	[0.282 - 0.402]	[0.327 - 0.526]	[0.474 - 0.576]	[0.593 - 0.728]	[0.527 - 0.740]
	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
									
Observations	2,016	2,009	2,009	2,012	2,005	2,005	2,009	2,002	2,002
R-squared	0.004	0.004	0.009	0.004	0.012	0.018	0.004	0.018	0.026
Robust standard errors in brackets									
