	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	spk_r2l	spk_r3l	spk_r3ld1	spk_r3ld2	spk_r4l	spk_r5l	spk_r6l	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	col_r2l	col_r3l	col_r3ld1	col_r3ld2	col_r4l	col_r5l	col_r6l	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6	lib_r2l	lib_r3l	lib_r3ld1	lib_r3ld2	lib_r4l	lib_r5l	lib_r6l
VARIABLES	y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1		
																																										
1bno._at						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0
						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)
						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]
						.	.						.	.						.	.						.	.						.	.						.	.
2o._at						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0
						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)
						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]
						.	.						.	.						.	.						.	.						.	.						.	.
3o._at						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0
						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)
						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]
						.	.						.	.						.	.						.	.						.	.						.	.
1bn._at						4.6	-3.9						5.4	-3.1						-14.0	-8.2						4.9	-6.5						4.1	-1.9						-9.7	-5.2
						(5.5)	(5.9)						(6.9)	(5.0)						(5.3)	(5.1)						(6.7)	(4.5)						(5.6)	(5.6)						(6.9)	(5.0)
						[-0.062 - 0.154]	[-0.146 - 0.084]						[-0.089 - 0.121]	[-0.128 - 0.073]						[-0.117 - 0.093]	[-0.182 - 0.017]						[-0.083 - 0.181]	[-0.164 - 0.011]						[-0.068 - 0.150]	[-0.034 - 0.184]						[-0.143 - 0.129]	[-0.150 - 0.046]
