	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
	spk_r1	spk_r1d1	spk_r1d2	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	col_r1	col_r1d1	col_r1d2	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	lib_r1	lib_r1d1	lib_r1d2	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6
VARIABLES	y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1	
																														
1bno._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
2o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
3o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
4o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
5o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
6o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
7o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
1bn._at									-0.1	-0.4									-3.2	-11.3									-1.8	7.2
									(1.2)	(5.8)									(1.1)	(5.2)									(1.2)	(5.6)
									[-0.025 - 0.022]	[-0.118 - 0.111]									[-0.053 - -0.011]	[-0.185 - 0.019]									[-0.041 - 0.005]	[-0.038 - 0.181]
									0.916	0.948									0.003	0.030									0.132	0.376
2._at									-2.9	-3.2									-1.9	-9.0									-1.2	-4.6
									(1.2)	(4.6)									(1.0)	(4.1)									(1.4)	(4.6)
									[-0.053 - -0.005]	[-0.122 - 0.058]									[-0.039 - 0.002]	[-0.151 - 0.011]									[-0.038 - 0.015]	[-0.036 - 0.137]
									0.019	0.491									0.070	0.090									0.390	0.315
3._at									-0.9	-5.9									-0.8	-6.6									-3.9	2.9
									(1.4)	(3.7)									(1.2)	(3.3)									(1.2)	(3.6)
									[-0.036 - 0.018]	[-0.132 - 0.013]									[-0.031 - 0.015]	[-0.122 - 0.008]									[-0.063 - -0.015]	[-0.111 - 0.031]
									0.509	0.107									0.479	0.046									0.001	0.412
4._at										-8.7										-4.3										-3.4
										(3.4)										(3.0)										(3.4)
										[-0.154 - -0.021]										[-0.103 - 0.017]										[-0.100 - 0.033]
										0.010										0.136										0.813
5._at										-11.5										-3.2										-1.3
										(3.9)										(3.5)										(4.0)
										[-0.191 - -0.039]										[-0.095 - 0.032]										[-0.091 - 0.065]
										0.003										0.331										0.740
6._at										-14.3										-1.9										-2.1
										(4.9)										(4.4)										(5.1)
										[-0.239 - -0.047]										[-0.083 - 0.091]										[-0.122 - 0.079]
										0.004										0.931										0.493
7._at										-17.1										-0.6										-1.5
										(6.2)										(5.1)										(6.5)
										[-0.292 - -0.049]										[-0.105 - 0.093]										[-0.180 - 0.068]
										0.006										0.906										0.816
1bn._at									-0.1	-3.0									-3.2	-8.3									-1.8	-5.2
									(1.2)	(6.0)									(1.1)	(5.2)									(1.2)	(5.9)
									[-0.025 - 0.022]	[-0.148 - 0.088]									[-0.053 - -0.011]	[-0.216 - -0.011]									[-0.041 - 0.005]	[-0.167 - 0.063]
									0.916	0.617									0.003	0.111									0.132	0.198
2._at									-2.9	-3.8									-1.9	-7.0									-1.2	5.1
									(1.2)	(4.7)									(1.0)	(4.1)									(1.4)	(4.4)
									[-0.053 - -0.005]	[-0.130 - 0.054]									[-0.039 - 0.002]	[-0.171 - -0.009]									[-0.038 - 0.015]	[-0.135 - 0.044]
									0.019	0.421									0.070	0.029									0.390	0.250
3._at									-0.9	-4.6									-0.8	-5.7									-3.9	-4.0
									(1.4)	(3.8)									(1.2)	(3.3)									(1.2)	(3.6)
									[-0.036 - 0.018]	[-0.119 - 0.028]									[-0.031 - 0.015]	[-0.132 - -0.001]									[-0.063 - -0.015]	[-0.041 - 0.099]
									0.509	0.224									0.479	0.085									0.001	0.274
4._at										-5.3										-4.4										0.8
										(3.5)										(3.1)										(3.4)
										[-0.121 - 0.014]										[-0.103 - 0.014]										[-0.059 - 0.075]
										0.122										0.163										0.323
5._at										-6.1										-2.0										-2.7
										(4.0)										(3.2)										(4.0)
										[-0.139 - 0.016]										[-0.088 - 0.049]										[-0.106 - 0.051]
										0.122										0.577										0.492
6._at										-6.9										0.4										-3.4
										(5.0)										(4.0)										(5.0)
										[-0.168 - 0.030]										[-0.097 - 0.060]										[-0.133 - 0.064]
										0.170										0.641										0.678
7._at										-7.7										2.7										-5.6
										(6.4)										(5.6)										(6.3)
										[-0.202 - 0.048]										[-0.082 - 0.137]										[-0.143 - 0.113]
										0.229										0.626										0.379
1bn.treat	49.3				49.1						28.4				27.8						53.4				53.4					
	(2.3)				(2.3)						(2.2)				(2.2)						(2.4)				(2.4)					
	[0.448 - 0.539]				[0.445 - 0.537]						[0.240 - 0.327]				[0.235 - 0.321]						[0.487 - 0.581]				[0.487 - 0.581]					
	0.000				0.000						0.000				0.000						0.000				0.000					
2.treat	40.6	-8.7			40.8	-8.3					23.2	-5.2			23.2	-4.6					49.9	-3.5			50.0	-3.4				
	(2.4)	(3.4)			(2.4)	(3.4)					(2.0)	(3.0)			(2.1)	(3.0)					(2.4)	(3.4)			(2.4)	(3.4)				
	[0.358 - 0.453]	[-0.154 - -0.021]			[0.361 - 0.455]	[-0.149 - -0.016]					[0.192 - 0.272]	[-0.110 - 0.007]			[0.191 - 0.272]	[-0.105 - 0.012]					[0.453 - 0.546]	[-0.101 - 0.031]			[0.453 - 0.546]	[-0.101 - 0.032]				
	0.000	0.010			0.000	0.015					0.000	0.086			0.000	0.121					0.000	0.303			0.000	0.306				
3.treat	43.6	-5.7	3.0		43.9	-5.2	3.1				22.9	-5.5	-0.3		23.1	-4.7	-0.0				54.3	0.9	4.4		54.5	1.1	4.6			
	(2.5)	(3.4)	(3.5)		(2.5)	(3.4)	(3.5)				(2.2)	(3.1)	(3.0)		(2.2)	(3.1)	(3.0)				(2.4)	(3.4)	(3.4)		(2.3)	(3.4)	(3.3)			
