	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)
	spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1				spk_r1d1			
VARIABLES	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval	y1	se	ci	pval
																																																																																																												
2.treat	-7.8	(3.7)	[-0.151 - -0.004]	0.038					40.7	(2.7)	[0.354 - 0.459]	0.000	-7.4	(3.7)	[-0.148 - -0.001]	0.046					40.7	(2.7)	[0.355 - 0.460]	0.000	-7.4	(3.7)	[-0.147 - -0.001]	0.047					23.0	(2.3)	[0.185 - 0.275]	0.000	-5.4	(3.3)	[-0.120 - 0.011]	0.104					22.9	(2.3)	[0.184 - 0.275]	0.000	-5.1	(3.3)	[-0.116 - 0.014]	0.123					22.9	(2.3)	[0.184 - 0.275]	0.000	-5.1	(3.3)	[-0.116 - 0.014]	0.124					48.7	(2.7)	[0.433 - 0.541]	0.000	-3.8	(3.8)	[-0.112 - 0.036]	0.315					48.8	(2.8)	[0.434 - 0.542]	0.000	-3.8	(3.8)	[-0.113 - 0.036]	0.314					48.7	(2.8)	[0.433 - 0.541]	0.000	-4.0	(3.8)	[-0.114 - 0.035]	0.296					40.5	(2.7)	[0.353 - 0.458]	0.000
3.treat	-3.4	(3.9)	[-0.111 - 0.043]	0.383	4.3	(4.0)	[-0.034 - 0.121]	0.274	45.0	(2.9)	[0.392 - 0.507]	0.000	-3.1	(3.9)	[-0.108 - 0.046]	0.423	4.3	(4.0)	[-0.035 - 0.121]	0.279	45.0	(2.9)	[0.392 - 0.507]	0.000	-3.2	(3.9)	[-0.109 - 0.045]	0.418	4.2	(4.0)	[-0.035 - 0.120]	0.286	23.1	(2.2)	[0.187 - 0.275]	0.000	-5.3	(3.3)	[-0.117 - 0.011]	0.106	0.1	(3.2)	[-0.062 - 0.064]	0.969	23.1	(2.3)	[0.186 - 0.276]	0.000	-4.9	(3.3)	[-0.114 - 0.015]	0.134	0.2	(3.2)	[-0.062 - 0.065]	0.963	23.1	(2.3)	[0.187 - 0.276]	0.000	-4.9	(3.3)	[-0.112 - 0.015]	0.136	0.2	(3.2)	[-0.061 - 0.066]	0.944	56.7	(2.9)	[0.510 - 0.625]	0.000	4.2	(3.9)	[-0.035 - 0.119]	0.280	8.0	(4.0)	[0.002 - 0.159]	0.045	56.8	(2.8)	[0.513 - 0.622]	0.000	4.1	(3.8)	[-0.033 - 0.116]	0.278	8.0	(3.9)	[0.003 - 0.157]	0.043	56.7	(2.7)	[0.514 - 0.620]	0.000	4.0	(3.8)	[-0.034 - 0.114]	0.285	8.0	(3.9)	[0.004 - 0.156]	0.039	44.9	(2.9)	[0.391 - 0.506]	0.000
1.treat					7.8	(3.7)	[0.004 - 0.151]	0.038									7.4	(3.7)	[0.001 - 0.148]	0.046									7.4	(3.7)	[0.001 - 0.147]	0.047									5.4	(3.3)	[-0.011 - 0.120]	0.104									5.1	(3.3)	[-0.014 - 0.116]	0.123									5.1	(3.3)	[-0.014 - 0.116]	0.124									3.8	(3.8)	[-0.036 - 0.112]	0.315									3.8	(3.8)	[-0.036 - 0.113]	0.314									4.0	(3.8)	[-0.035 - 0.114]	0.296				
1bn.treat									48.1	(2.6)	[0.430 - 0.532]	0.000									48.1	(2.6)	[0.430 - 0.532]	0.000									28.4	(2.4)	[0.237 - 0.331]	0.000									28.0	(2.4)	[0.234 - 0.327]	0.000									28.0	(2.3)	[0.234 - 0.326]	0.000									52.5	(2.6)	[0.474 - 0.576]	0.000									52.6	(2.6)	[0.475 - 0.578]	0.000									52.7	(2.6)	[0.475 - 0.578]	0.000									48.3	(2.6)	[0.432 - 0.534]	0.000
partyid7													-1.7	(0.8)	[-0.032 - -0.001]	0.036	-1.7	(0.8)	[-0.032 - -0.001]	0.036					-1.7	(0.8)	[-0.033 - -0.002]	0.029	-1.7	(0.8)	[-0.033 - -0.002]	0.029																	-2.4	(0.6)	[-0.037 - -0.012]	0.000	-2.4	(0.6)	[-0.037 - -0.012]	0.000					-2.4	(0.6)	[-0.036 - -0.012]	0.000	-2.4	(0.6)	[-0.036 - -0.012]	0.000																	-3.4	(0.8)	[-0.050 - -0.019]	0.000	-3.4	(0.8)	[-0.050 - -0.019]	0.000					-3.4	(0.8)	[-0.049 - -0.018]	0.000	-3.4	(0.8)	[-0.049 - -0.018]	0.000				
																																																																																																												
Observations	2,016				2,016				2,009				2,009				2,009				2,009				2,009				2,009				2,012				2,012				2,012				2,005				2,005				2,005				2,005				2,005				2,005				2,009				2,009				2,009				2,002				2,002				2,002				2,002				2,002				2,002				2,016			
Standard errors in brackets																																																																																																												
