	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
	spk_r1	spk_r1d1	spk_r1d2	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	col_r1	col_r1d1	col_r1d2	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	lib_r1	lib_r1d1	lib_r1d2	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6
VARIABLES	y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1	
																														
1bno._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
2o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
3o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
4o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
5o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
6o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
7o._at										0.0										0.0										0.0
										(0.0)										(0.0)										(0.0)
										[0.000 - 0.000]										[0.000 - 0.000]										[0.000 - 0.000]
										.										.										.
1bn._at									-0.9	-2.8									-3.8	-12.7									-2.8	12.5
									(1.2)	(6.6)									(1.1)	(5.8)									(1.3)	(6.2)
									[-0.033 - 0.016]	[-0.157 - 0.102]									[-0.059 - -0.017]	[-0.216 - 0.019]									[-0.053 - -0.003]	[-0.202 - 0.062]
									0.479	0.675									0.000	0.101									0.028	0.296
2._at									-2.5	-4.4									-2.1	-8.2									-1.7	-6.0
									(1.3)	(5.2)									(1.1)	(4.8)									(1.4)	(5.3)
									[-0.052 - 0.001]	[-0.146 - 0.058]									[-0.043 - -0.000]	[-0.175 - 0.012]									[-0.045 - 0.011]	[-0.000 - 0.191]
									0.062	0.396									0.047	0.088									0.235	0.051
3._at									-1.9	-6.0									-1.0	-6.5									-5.8	-4.9
									(1.6)	(4.1)									(1.2)	(3.8)									(1.3)	(4.0)
									[-0.049 - 0.012]	[-0.141 - 0.020]									[-0.033 - 0.012]	[-0.143 - -0.000]									[-0.083 - -0.033]	[-0.130 - 0.033]
									0.228	0.143									0.369	0.049									0.000	0.101
4._at										-7.7										-4.4										3.6
										(3.7)										(3.2)										(3.8)
										[-0.150 - -0.004]										[-0.112 - 0.016]										[-0.039 - 0.110]
										0.040										0.173										0.318
5._at										-9.3										-3.1										-2.7
										(4.2)										(3.6)										(4.4)
										[-0.175 - -0.011]										[-0.086 - 0.053]										[-0.113 - 0.058]
										0.027										0.353										0.897
6._at										-11.0										1.1										-2.4
										(5.3)										(4.1)										(5.5)
										[-0.213 - -0.006]										[-0.096 - 0.066]										[-0.125 - 0.092]
										0.039										0.720										0.665
7._at										-12.6										0.2										-5.4
										(6.7)										(5.2)										(7.1)
										[-0.258 - 0.006]										[-0.100 - 0.104]										[-0.144 - 0.133]
										0.061										0.491										0.441
1bn._at									-0.9	-0.4									-3.8	-9.8									-2.8	-7.0
									(1.2)	(7.2)									(1.1)	(6.0)									(1.3)	(6.7)
									[-0.033 - 0.016]	[-0.144 - 0.137]									[-0.059 - -0.017]	[-0.241 - -0.013]									[-0.053 - -0.003]	[0.004 - 0.246]
									0.479	0.960									0.000	0.029									0.028	0.043
2._at									-2.5	-1.4									-2.1	-10.0									-1.7	9.5
									(1.3)	(5.6)									(1.1)	(4.6)									(1.4)	(4.9)
									[-0.052 - 0.001]	[-0.123 - 0.096]									[-0.043 - -0.000]	[-0.190 - -0.009]									[-0.045 - 0.011]	[-0.163 - 0.044]
									0.062	0.809									0.047	0.030									0.235	0.258
3._at									-1.9	-2.3									-1.0	-7.2									-5.8	6.5
									(1.6)	(4.4)									(1.2)	(3.6)									(1.3)	(4.2)
									[-0.049 - 0.012]	[-0.110 - 0.063]									[-0.033 - 0.012]	[-0.139 - 0.009]									[-0.083 - -0.033]	[-0.013 - 0.143]
									0.228	0.594									0.369	0.087									0.000	0.242
4._at										-3.3										-4.8										-3.8
										(3.9)										(3.3)										(3.8)
										[-0.110 - 0.043]										[-0.108 - 0.019]										[-0.113 - 0.037]
										0.393										0.139										0.349
5._at										-4.3										-1.6										0.6
										(4.4)										(3.4)										(4.3)
										[-0.129 - 0.043]										[-0.098 - 0.035]										[-0.081 - 0.092]
										0.323										0.645										0.531
6._at										-5.3										-1.5										-1.6
										(5.6)										(4.5)										(5.6)
										[-0.162 - 0.056]										[-0.076 - 0.099]										[-0.133 - 0.085]
										0.340										0.799										0.766
7._at										-6.3										3.9										-0.6
										(7.1)										(5.7)										(7.0)
										[-0.203 - 0.077]										[-0.072 - 0.150]										[-0.191 - 0.083]
										0.377										0.970										0.935
1bn.treat	48.3				48.1						28.4				28.0						52.5				52.7					
	(2.6)				(2.6)						(2.4)				(2.3)						(2.6)				(2.6)					
	[0.432 - 0.534]				[0.430 - 0.532]						[0.237 - 0.331]				[0.234 - 0.326]						[0.474 - 0.576]				[0.475 - 0.578]					
	0.000				0.000						0.000				0.000						0.000				0.000					
2.treat	40.5	-7.8			40.7	-7.4					23.0	-5.4			22.9	-5.1					48.7	-3.8			48.7	-4.0				
	(2.7)	(3.7)			(2.7)	(3.7)					(2.3)	(3.3)			(2.3)	(3.3)					(2.7)	(3.8)			(2.8)	(3.8)				
	[0.353 - 0.458]	[-0.151 - -0.004]			[0.355 - 0.460]	[-0.147 - -0.001]					[0.185 - 0.275]	[-0.120 - 0.011]			[0.184 - 0.275]	[-0.116 - 0.014]					[0.433 - 0.541]	[-0.112 - 0.036]			[0.433 - 0.541]	[-0.114 - 0.035]				
	0.000	0.038			0.000	0.047					0.000	0.104			0.000	0.124					0.000	0.315			0.000	0.296				
3.treat	44.9	-3.4	4.3		45.0	-3.2	4.2				23.1	-5.3	0.1		23.1	-4.9	0.2				56.7	4.2	8.0		56.7	4.0	8.0			
	(2.9)	(3.9)	(4.0)		(2.9)	(3.9)	(4.0)				(2.2)	(3.3)	(3.2)		(2.3)	(3.3)	(3.2)				(2.9)	(3.9)	(4.0)		(2.7)	(3.8)	(3.9)			
